"state","average_aqi"
"Kansas",90.10
"Texas",167.78
"Oregon",94.69
"Idaho",69.53
"Alaska",103.80
"Alabama",115.60
"Oklahoma",129.55
"North Carolina",117.17
"Colorado",91.90
"Mississippi",134.38
"Florida",130.55
"Virgin Islands",73.67
"Vermont",92.00
"Delaware",214.00
"Nevada",94.00
"Louisiana",165.35
"New York",152.61
"West Virginia",164.43
"South Carolina",146.82
"New Jersey",187.12
"New Mexico",92.89
"Hawaii",89.00
"Arkansas",84.85
"Missouri",153.81
"Connecticut",216.50
"South Dakota",65.25
"Iowa",123.50
"Indiana",168.85
"Massachusetts",186.00
"Rhode Island",225.50
"Ohio",163.56
"District Of Columbia",219.00
"Michigan",160.43
"Minnesota",100.38
"Pennsylvania",185.53
"Washington",93.76
"Wisconsin",170.26
"Montana",89.86
"Kentucky",160.24
"Arizona",113.64
"Illinois",169.32
"Virginia",113.39
"Maryland",164.13
"Puerto Rico",75.08
"Georgia",146.27
"Wyoming",126.64
"Utah",107.64
"New Hampshire",140.63
"North Dakota",76.50
"Nebraska",71.25
"Maine",170.20
"California",242.31
"Tennessee",147.13
