"state","average_aqi"
"Kansas",94.91
"Texas",108.96
"Oregon",91.87
"Idaho",85.71
"Alaska",71.56
"Alabama",81.60
"Oklahoma",102.10
"North Carolina",77.71
"Colorado",103.64
"Mississippi",82.00
"Florida",98.23
"Virgin Islands",61.50
"Vermont",65.75
"Delaware",77.00
"Nevada",109.78
"Louisiana",96.09
"New York",89.00
"West Virginia",77.13
"South Carolina",83.73
"New Jersey",86.88
"New Mexico",100.00
"Hawaii",59.25
"Arkansas",95.18
"Missouri",104.46
"Connecticut",98.13
"South Dakota",82.40
"Iowa",94.50
"Indiana",100.81
"Massachusetts",89.69
"Rhode Island",133.00
"Ohio",98.19
"District Of Columbia",166.00
"Michigan",114.11
"Minnesota",76.71
"Pennsylvania",87.71
"Washington",72.50
"Wisconsin",116.45
"Montana",71.53
"Kentucky",82.19
"Arizona",128.23
"Illinois",106.04
"Virginia",59.35
"Maryland",83.12
"Puerto Rico",126.91
"Georgia",94.76
"Wyoming",148.22
"Utah",131.93
"New Hampshire",67.14
"North Dakota",68.30
"Nebraska",90.67
"Maine",84.50
"California",197.81
"Tennessee",87.43
